epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.37841129302978516,0.0010000000474974513,2.3941171169281006,0.7083333134651184,1.410290241241455
1,0.7737573385238647,0.0010000000474974513,0.8455992937088013,0.8055555820465088,0.624602198600769
2,0.8429580926895142,0.0010000000474974513,0.5528736114501953,0.8541666865348816,0.4963896572589874
3,0.878533124923706,0.0010000000474974513,0.43022802472114563,0.9236111044883728,0.320429265499115
4,0.8980262875556946,0.0010000000474974513,0.35501015186309814,0.9097222089767456,0.32481178641319275
5,0.9097222089767456,0.0010000000474974513,0.30860796570777893,0.9305555820465088,0.24191167950630188
6,0.9192251563072205,0.0010000000474974513,0.28362005949020386,0.9375,0.23467236757278442
7,0.9265350699424744,0.0010000000474974513,0.2571426331996918,0.9375,0.2759627103805542
8,0.9361598491668701,0.0010000000474974513,0.22639428079128265,0.9513888955116272,0.20815086364746094
9,0.9406676292419434,0.0010000000474974513,0.21440334618091583,0.9375,0.2027309089899063
10,0.9467592835426331,0.0010000000474974513,0.19622108340263367,0.9513888955116272,0.1953410804271698
11,0.9510233998298645,0.0010000000474974513,0.17706841230392456,0.9513888955116272,0.19838547706604004
12,0.955165684223175,0.0010000000474974513,0.16699042916297913,0.9513888955116272,0.17396432161331177
13,0.9565058350563049,0.0010000000474974513,0.1598806530237198,0.9861111044883728,0.15101462602615356
14,0.9583333134651184,0.0010000000474974513,0.15120956301689148,0.9791666865348816,0.14948298037052155
15,0.9593079686164856,0.0010000000474974513,0.14632995426654816,0.9583333134651184,0.16459733247756958
16,0.9636939764022827,0.0010000000474974513,0.14094297587871552,0.9722222089767456,0.17392008006572723
17,0.9672271013259888,0.0010000000474974513,0.13081243634223938,0.9583333134651184,0.1746435910463333
18,0.9671052694320679,0.0010000000474974513,0.1272711604833603,0.9722222089767456,0.14328356087207794
19,0.9711257219314575,0.0010000000474974513,0.11691150814294815,0.9583333134651184,0.14117993414402008
20,0.9707602262496948,0.0010000000474974513,0.11931977421045303,0.9791666865348816,0.14059452712535858
21,0.9759989976882935,0.0010000000474974513,0.10860563814640045,0.9722222089767456,0.1674019992351532
22,0.9724658727645874,0.0010000000474974513,0.10946545004844666,0.9444444179534912,0.17481361329555511
23,0.9775828719139099,0.0010000000474974513,0.10080724209547043,0.9791666865348816,0.1283930242061615
24,0.9763644933700562,0.0010000000474974513,0.09816402196884155,0.9791666865348816,0.09820745885372162
25,0.9785575270652771,0.0010000000474974513,0.09406765550374985,0.9930555820465088,0.1141054779291153
26,0.9816033244132996,0.0010000000474974513,0.0932592824101448,0.9861111044883728,0.11732584983110428
27,0.9803850054740906,0.0010000000474974513,0.09214185178279877,0.9583333134651184,0.17142969369888306
28,0.9789230227470398,0.0010000000474974513,0.09162606298923492,0.9652777910232544,0.1648229956626892
29,0.9892787337303162,0.0003000000142492354,0.06773862987756729,0.9722222089767456,0.1515563428401947
30,0.9920808672904968,0.0003000000142492354,0.058926962316036224,0.9722222089767456,0.11727937310934067
31,0.994030237197876,0.0003000000142492354,0.05466552823781967,0.9722222089767456,0.11133633553981781
32,0.9914717078208923,0.0003000000142492354,0.05813717469573021,0.9861111044883728,0.10069236159324646
