epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.6839526295661926,0.0010000000474974513,1.1694444417953491,0.7881944179534912,0.629158616065979
1,0.8740379810333252,0.0010000000474974513,0.42293649911880493,0.8732638955116272,0.40805739164352417
2,0.9044011831283569,0.0010000000474974513,0.32506418228149414,0.921875,0.2823544442653656
3,0.9209054708480835,0.0010000000474974513,0.2715204358100891,0.9253472089767456,0.2687166929244995
4,0.934132993221283,0.0010000000474974513,0.23375649750232697,0.9427083134651184,0.23688095808029175
5,0.9444444179534912,0.0010000000474974513,0.2059406191110611,0.9253472089767456,0.28128913044929504
6,0.9485329389572144,0.0010000000474974513,0.18808771669864655,0.9479166865348816,0.18326109647750854
7,0.955958366394043,0.0010000000474974513,0.16685238480567932,0.9652777910232544,0.14508651196956635
8,0.9601370692253113,0.0010000000474974513,0.1529110223054886,0.9722222089767456,0.13927510380744934
9,0.9654281139373779,0.0010000000474974513,0.13886183500289917,0.9722222089767456,0.11820504069328308
10,0.9676827788352966,0.0010000000474974513,0.1302008330821991,0.9791666865348816,0.12687566876411438
11,0.9708994626998901,0.0010000000474974513,0.12229884415864944,0.9756944179534912,0.1309327930212021
12,0.9721921682357788,0.0010000000474974513,0.11475858092308044,0.9809027910232544,0.09159918129444122
13,0.9742063283920288,0.0010000000474974513,0.10871081054210663,0.9791666865348816,0.10443264991044998
14,0.9768819212913513,0.0010000000474974513,0.10063106566667557,0.9791666865348816,0.08348838984966278
15,0.9783549904823303,0.0010000000474974513,0.09396015107631683,0.9809027910232544,0.08920478075742722
16,0.9787758588790894,0.0010000000474974513,0.0917748212814331,0.9791666865348816,0.09318627417087555
17,0.9808501601219177,0.0010000000474974513,0.08623091131448746,0.9618055820465088,0.1315784603357315
18,0.9816918969154358,0.0010000000474974513,0.08027978986501694,0.9826388955116272,0.07676946371793747
19,0.9825035929679871,0.0010000000474974513,0.07819855958223343,0.984375,0.09011486917734146
20,0.9826238751411438,0.0010000000474974513,0.07735013961791992,0.9809027910232544,0.09654617309570312
21,0.9846380352973938,0.0010000000474974513,0.07102015614509583,0.9739583134651184,0.11281295865774155
22,0.9842472076416016,0.0010000000474974513,0.07135900855064392,0.9739583134651184,0.09171447157859802
23,0.9919131994247437,0.0003000000142492354,0.04993457719683647,0.9861111044883728,0.06424763798713684
24,0.9930555820465088,0.0003000000142492354,0.045549992471933365,0.9861111044883728,0.05567473918199539
25,0.9940476417541504,0.0003000000142492354,0.04303905740380287,0.9861111044883728,0.05879121273756027
26,0.9931156635284424,0.0003000000142492354,0.04365275800228119,0.984375,0.0633685514330864
27,0.9935064911842346,0.0003000000142492354,0.042492061853408813,0.9895833134651184,0.055954329669475555
28,0.9942280054092407,0.0003000000142492354,0.04003368318080902,0.9895833134651184,0.05339154228568077
29,0.994107723236084,0.0003000000142492354,0.040284428745508194,0.9826388955116272,0.055656664073467255
30,0.9947090148925781,0.0003000000142492354,0.038018498569726944,0.9895833134651184,0.06797131896018982
31,0.9940476417541504,0.0003000000142492354,0.03863019868731499,0.9826388955116272,0.0598963163793087
32,0.9946488738059998,0.0003000000142492354,0.03642311319708824,0.9913194179534912,0.05420992895960808
33,0.9961219429969788,9.000000136438757e-05,0.032033562660217285,0.9913194179534912,0.04604903236031532
34,0.9965428113937378,9.000000136438757e-05,0.03153834491968155,0.9895833134651184,0.04449239373207092
35,0.9963323473930359,9.000000136438757e-05,0.031324129551649094,0.9895833134651184,0.045413628220558167
36,0.9968434572219849,9.000000136438757e-05,0.03044207952916622,0.9895833134651184,0.04580201581120491
37,0.9960317611694336,9.000000136438757e-05,0.031064428389072418,0.9895833134651184,0.0448572039604187
38,0.996512770652771,9.000000136438757e-05,0.030989503487944603,0.9895833134651184,0.04826284945011139
39,0.9966931343078613,2.700000004551839e-05,0.03025464527308941,0.9913194179534912,0.04492877423763275
40,0.9971140027046204,2.700000004551839e-05,0.028526069596409798,0.9895833134651184,0.04394225403666496
41,0.9973845481872559,2.700000004551839e-05,0.02923400141298771,0.9895833134651184,0.045849937945604324
42,0.9975649118423462,2.700000004551839e-05,0.028281420469284058,0.9913194179534912,0.04538816586136818
43,0.9966029524803162,2.700000004551839e-05,0.0299458559602499,0.9895833134651184,0.044790513813495636
44,0.9968734979629517,2.700000004551839e-05,0.02904285490512848,0.9913194179534912,0.04213641583919525
45,0.9974146485328674,2.700000004551839e-05,0.02800113707780838,0.9878472089767456,0.04486227408051491
46,0.9977453351020813,2.700000004551839e-05,0.027797756716609,0.9913194179534912,0.044240932911634445
47,0.9970839619636536,2.700000004551839e-05,0.02818618156015873,0.9913194179534912,0.043546997010707855
48,0.9975348711013794,2.700000004551839e-05,0.027345238253474236,0.9913194179534912,0.041580524295568466
49,0.9976851940155029,2.700000004551839e-05,0.0277833454310894,0.9913194179534912,0.04119160771369934
50,0.9974146485328674,2.700000004551839e-05,0.027751095592975616,0.9913194179534912,0.04287603124976158
51,0.9973244071006775,2.700000004551839e-05,0.02783707156777382,0.9895833134651184,0.04231756553053856
52,0.9974146485328674,2.700000004551839e-05,0.027201058343052864,0.9913194179534912,0.04273027181625366
53,0.9970238208770752,2.700000004551839e-05,0.028339115902781487,0.9895833134651184,0.04381623864173889
54,0.9973845481872559,8.099999831756577e-06,0.02716716192662716,0.9913194179534912,0.04326055943965912
55,0.9971741437911987,8.099999831756577e-06,0.0267937034368515,0.9913194179534912,0.041978880763053894
56,0.9976851940155029,8.099999831756577e-06,0.02725953422486782,0.9895833134651184,0.04263412952423096
57,0.9970839619636536,8.099999831756577e-06,0.02784496173262596,0.9913194179534912,0.043052274733781815
